symbol,name,contractAddress,balance,decimals
MIR,Mirror Protocol,0x09a3ecafa817268f77be1283176b946c4ff2e608,0.000000146464609461,18
vSELL,Vitalik Sellerin,0x09e555a4202e357087caff97d3f0bd3f2f46aa0b,300000000.0,18
APT,Aptos,0x0a62c26c52deeedc84e2f38e461a4fdecdaad420,2000000.0,18
Tesla,Tesla DAO,0x0a62f4936b5baf5da86601b397f3602e7660799a,67387143.779415173800484933,18
BKN,Brickken,0x0a638f07acc6969abf392bb009f216d22adea36d,1.0,18
TOTS,Scotts Tots,0x0a7c4e685f8ac5ddeef7700459431fd85c043b02,8008.0,18
GROK,Grok Games,0x0accd8e2434802d044d6209f989b00c899d29602,613563469.15087136129904201,18
AI WEB3,AI WEB3,0x0b037269d25c48304482d3e2e7c66590fdfda8d6,39999510000000.0,18
OBAMA,OBAMA,0x0ba11abb2929c34bc4401d85d38204d370537cd3,25711718529.100738224465010081,18
SCHWAB,Schwab Token,0x0be87729309b1cf91dc4be625f4f84e97c8cc8d5,200000000.0,2
OS,OldSolana,0x0c2ac69e86dc24ccf301d02d074f1f7e61639052,12555666.0,18
BXEN,XEN Crypto,0x0c2c6791ad2fa8f681c05876b27186d7ce77df9d,45888914.29174314173954634,18
AIMBOT,AimBot,0x0c48250eb1f29491f1efbeec0261eb556f0973c7,10.45,18
vSOLID,Solidly Exchange,0x0c55846977ca9109177fec3aae4cf5c5ec78de2e,34525.542496477365593323,18
FEDUP,Fed Bought The Dip,0x0c64b142500e25f043c51916b8ae806c61c31322,620.0,9
Roblox,Roblox Metaverse,0x0c6f0f339e0fb37761e2ff30a853c23f0455edd6,767387143.779415173800484933,18
DATA,Streamr,0x0cf0ee63788a0849fe5297f3407f701e122cc023,130.147537997596467278,18
OthersideMeta,OthersideMeta,0x0d26a68376ef61edb4784e5b9376ad813ae89054,767387143.779415173800484933,18
TRIBL,Tribal Credit,0x0d54eff0f9f2ee4e0714d57d4392ac647a622e46,351589.695602646511966193,18
NATE,TOKENATE,0x0d627d93487fbebd72afca7967f1fb445dfb6a63,7500000000.0,18
Steam,Steam Metaverse,0x0d697cf09268b79679c66d5a6e8766a3ec2d33ec,767387143.779415173800484933,18
BAT,Basic Attention Token,0x0d8775f648430679a709e98d2b0cb6250d2887ef,17.467248908296943231,18
WON,WonderAir,0x0da345128eb3337e091942f4ff57a5dd199854bf,1.0,18
PITO,Pitocoin,0x0daa504e5b145465a82199a8cad111273a79b313,120000000000000.0,18
ETH 2.0,Ethereum 2.0,0x0dd7cf1d102118fcb498fc5b9a5f23c043407748,50000000000.0,18
Doge,Fair Doge,0x0e057b6652030b4a28d001033ccd7cfed1ca79fc,500000.0,18
VINU,Vitalik Inu,0x0e55c93d22e7ac27c22a7ab38553c643da96319e,200000000.0,18
MUZZLE,Jidoka Muzzle,0x0ea31c0ea43dad0118a8196a4ec9105653b52046,6069.0,18
Intel,Intel Metaverse,0x0ec74b84a71ecf7e74a0e51e06ecf79eed51cd26,767387143.779415173800484933,18
MANA,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,25.60422679,18
GAI,Good AI,0x0f64a0eb8741585a4764278e617b13bbebc7baee,92058686.71652053890714956,18
WSHIB,Wrapped Shiba,0x0fcf6e8438282f5658ab01d290fb28a24a741700,68790007732.917286842,9
PEPEF,pepefork.vip,0x1014f52e5e33e50f0b0ac3c69cd007424f0c92b1,2881430034316.536249911829519904,18
NUTS,SQUIRREL,0x1049838f294ebf4e3eca1ae87d5fee702142f82c,500000000.0,18
SNORKZ,Snorkelz,0x104b9c2b4e707278b21f0cc8459e1b7596a315f6,4196.170099855,9
LEGO,Lego,0x1060665f93c199b7ae9a37dfac746f9a49044550,1446392091.398326300963016657,18
GODZ,Godzilla Crypto,0x1068a889fd7151fb2ca9d98d268b0d0cd623fc2f,100000000.0,18
THE ONE,THEONE,0x106b39a28a3bd5bb88c69b813c463f163704773e,0.00001,18
StableDAI.com,! StableDAI,0x106eebf11f34ecccad59c1ca9398d828765f64f8,628.0,18
SHIMURAI,Shimurai inu,0x10763a13ffd05e28c00f58857594c45600583b2e,3288669337.769341322,9
GBC,Gameboy Classic,0x107c1f9e94ea5bb7dc60339d69c1d5b45ae94220,500000000.0,18
Christies,Christies Metaverse,0x108e34525a02a393cda7d3648d185ce128743cee,767387143.779415173800484933,18
STATUS,STATUS,0x109400202d6a2deacf6f7e0bcea0484bb2223e6b,14895.00000000000351,18
$TMOON,The Moon,0x10bb1d4b6c4d67c2e78032372de0114fad59a223,73847.910757946,9
ENJY,ENJOY,0x10c0f5d2969d0c0f3ad963ae29c8ae9070b43452,88.0,18
POTTERINU,Potter Inu,0x10f9ea5180816d26e28d4e8e12278001b752c455,501126879698219.139198549,9
1INCH,1inch Network,0x111111111117dc0aa78b770fa6a738034120c302,6.036684054183323219,18
CZSB,CZ Short Bird,0x1127eed3eb75f22fb7454a6d6647e35aabec15f0,105000.0,18
dUNIV,dotUNIVERSE,0x1157c14640237b3392ac453ae3a4420d4f229597,10000.0,18
OPDOGE,OrdinalPUNKDOGE,0x115a968bd061b3cd0a5e21d80c827e6a4b5e36e6,210000000000000.0,9
SHIBOS,Return of Shiboshis,0x119d472551a2432d511e5f71db4c577b2082d0cb,244343.873810203725971912,18
World Of Women,World Of Women,0x1220902299fc2807dd6fa4a0900ae34bc11bed5e,767387143.779415173800484933,18
CAT,BitClave,0x1234567461d3f8db7496581774bd869c83d51c93,1.0,18
FIRE,Fire Token,0x125f9d5daa039bdb79d36baff667e9e0bbcea998,360.0,18
XMAS,Merry Christmas,0x127e570574fad82903fe46a95c84938c28ffc468,209347705.211429498214831381,18
CRI,Crypto International,0x12e951934246186f50146235d541d3bd1d463e4d,0.01,18
TOKYO,TOKYO,0x12fb828ea8f5d8b8ec18980db5f48526ced5574a,250000000000000.0,18
HNY,Happy New Year,0x1320a2732588d982534dc0fb013dde181198e131,220000000.0,18
RUSSIA,RUSSIA COIN,0x133a468755b4ef2b9dd444c2af944665a4d24231,3500.0,9
BMW,BMW Metaverse,0x133b8f31aba904294a95cd6477633b593f019818,767387143.779415173800484933,18
